lab;filter_name;shelf;name;weight;unit;producer;quantity;code;sds
1.12;S;4;SUNSET YELLOW;25;g;SIGMA-ALDRICH;1;465224;https://www.sigmaaldrich.com/IT/en/sds/aldrich/465224
1.12;T;4;TARTRAZINE;100;g;SIGMA-ALDRICH;1;T0388-100G;https://www.sigmaaldrich.com/IT/en/sds/sigma/t0388
1.12;T;4;THYMOLPHTALEIN;10;g;SIGMA ALDRICH;1;89360;https://www.sigmaaldrich.com/IT/en/sds/sial/89360
1.12;T;4;THYMOLPHTALEIN;25;g;VWR;1;86157150;https://it.vwr.com/assetsvc/asset/en_GB/id/27813041/contents
1.12;T;4;TRIETHANOLAMINE;500;ML;SIGMA ALDRICH;1;90279-500ML;https://www.sigmaaldrich.com/IT/en/sds/sigma/90279
1.12;T;4;TRIETHANOLAMINE;1;L;VWR;1;28746.290;https://it.vwr.com/assetsvc/asset/en_GB/id/7667883/contents
1.12;A;5;AMBERLITE IR120 Na+ FORM;250;g;SIGMA-ALDRICH;1;224359-250G;https://www.sigmaaldrich.com/IT/en/sds/aldrich/224359
1.12;A;5;AMBERLITE IRA-400;100;g;SIGMA-ALDRICH;1;247669-100G;https://www.sigmaaldrich.com/IT/en/sds/aldrich/247669
1.12;C;5;CASEIN FROM BOVIN MILK;500;g;SIGMA-ALDRICH;1;c3400;https://www.sigmaaldrich.com/IT/en/sds/sigma/c3400
1.12;C;5;CELITE 500 FINE;1;kg;SIGMA-ALDRICH;1;06858;https://www.sigmaaldrich.com/IT/en/sds/sigald/06858
1.12;E;5;EDTA 99%;500;g;SIGMA ALDRICH;2;eds;https://www.sigmaaldrich.com/IT/en/sds/sial/eds
1.12;E;5;EDTA DISODIUM SALT 0.01M IN ACQUEOUS SOLUTION;5;L;VWR;1;160226G;https://it.vwr.com/assetsvc/asset/en_GB/id/7896625/contents
1.12;M;5;MINERAL OIL;500;ml;SIGMA-ALDRICH;1;m5904;https://www.sigmaaldrich.com/IT/en/sds/sigma/m5904
1.12;P;5;PARAFFIN WAX 100%;100;g;;1;76242;https://www.sigmaaldrich.com/IT/en/sds/aldrich/76242
1.12;P;5;PARAFFIN OIL;1;L;SIGMA ALDRICH;1;76235;https://www.sigmaaldrich.com/IT/en/sds/sial/76235
1.12;P;5;PARAFFIN OIL;1;L;J.T. BAKER;1;7160;https://us.vwr.com/assetsvc/asset/en_US/id/37647263/contents/37647263.pdf
1.12;S;5;SAND 50-70 MESH;500;g;SIGMA ALDRICH;1;274739;https://www.sigmaaldrich.com/IT/en/sds/sigald/274739
1.12;S;5;SILICA GEL;1;kg;SIGMA ALDRICH;1;236799-1KG;https://www.sigmaaldrich.com/IT/en/sds/sial/236799
1.12;T;5;TWEEN 20;;;SIGMA ALDRICH;1;655204;https://www.sigmaaldrich.com/IT/en/sds/mm/655204
1.12;F_A;fridge;Alpha amylase;250;ml;ANKOM;4;FAA;https://www.ankom.com/sites/default/files/document-files/FAA_MSDS_ANKOM_2021.pdf
1.12;F_A;fridge;ALPHA AMYLASE;100;mL;NCBE;1;-;https://www.ncbe.reading.ac.uk/wp-content/uploads/sites/16/2021/10/Termamyl120.pdf
1.12;F_A;fridge;ASTRABLAU;10;g;ROTH;1;5165.1;https://www.carlroth.com/medias/SDB-5165-GB-EN.pdf?context=bWFzdGVyfHNlY3VyaXR5RGF0YXNoZWV0c3wyNDAxOTR8YXBwbGljYXRpb24vcGRmfHNlY3VyaXR5RGF0YXNoZWV0cy9oZmMvaGQ0LzkwNjkxNzQxOTQyMDYucGRmfDE1Y2ExNjIwMWUyMWY3YTJhNTk1MjExNDRiYzIwOTFlYjYxYTJiYzhmMGI5NzNhZjRhNjZhNDVkNzZhNTg5N2Q
1.12;F_C;fridge;CELLULASE;100;mL;NCBE;1;-;https://www.ncbe.reading.ac.uk/wp-content/uploads/sites/16/2021/10/Celluclast.pdf
1.12;F_H;fridge;Hydrogen peroxide solution;1;L;MERCK;2;8.22287;https://www.sigmaaldrich.com/IT/en/sds/sial/31642-m
1.12;F_M;fridge;MANGANESE (II) SULFATE MONOHYIDRATÉ;500;g;SIGMA-ALDRICH;1;221287-500G;https://www.sigmaaldrich.com/IT/en/sds/sigald/221287
